model_type,data_schema_version,accuracy
RandomForest,2.2,0.791
XGBoost,2.2,0.791
LogisticRegression,2.2,0.515
SVM,2.2,0.546
NaiveBayes,2.2,0.575
KNN,2.2,0.332
NeuralNetwork,2.2,0.769
RandomForest,2.3,0.793
XGBoost,2.3,0.797
LogisticRegression,2.3,0.529
SVM,2.3,0.769
NaiveBayes,2.3,0.584
KNN,2.3,0.708
NeuralNetwork,2.3,0.792
RandomForest,1.1,0.357
XGBoost,1.1,0.405
LogisticRegression,1.1,0.328
SVM,1.1,0.369
NaiveBayes,1.1,0.314
KNN,1.1,0.308
NeuralNetwork,1.1,0.382
XGBoost,2.0,0.791
LogisticRegression,2.0,0.515
SVM,2.0,0.546
NaiveBayes,2.0,0.575
KNN,2.0,0.332
NeuralNetwork,2.0,0.769
RandomForest,2.0,0.791