timestamp,run_id,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,action,distance_to_goal,astar_action
0,0,10,1,5,2,3,3,3,3,2,11.704699910719626,6
1,0,1,4,4,1,3,4,4,4,2,10.770329614269007,6
2,0,3,3,3,1,1,5,5,1,2,9.848857801796104,6
3,0,6,2,2,6,1,1,6,6,3,8.94427190999916,-1
4,0,9,1,3,5,4,5,1,7,3,7.615773105863909,6
5,0,2,8,6,4,4,4,3,8,3,6.324555320336759,6
6,0,6,2,5,3,1,2,5,9,2,5.0990195135927845,6
7,0,2,2,4,3,3,1,6,9,2,4.123105625617661,-1
8,0,2,2,3,3,3,3,7,3,2,3.1622776601683795,-1
9,0,2,2,2,3,3,3,8,2,2,2.23606797749979,-1
10,0,2,1,1,2,3,3,9,2,3,1.4142135623730951,-1
11,1,1,7,4,2,2,2,2,2,2,14.7648230602334,6
12,1,3,6,3,1,10,3,1,1,2,13.892443989449804,6
13,1,3,8,2,9,1,2,2,4,2,13.038404810405298,6
14,1,5,2,1,11,2,1,3,5,3,12.206555615733702,6
15,1,1,7,1,10,2,1,2,6,3,10.816653826391969,6
16,1,1,10,2,9,7,1,2,7,3,9.433981132056603,6
17,1,11,1,4,8,4,3,2,8,2,8.06225774829855,6
18,1,1,1,3,6,8,4,3,2,2,7.211102550927978,6
19,1,1,5,2,2,4,4,4,1,2,6.4031242374328485,6
20,1,3,8,1,5,8,6,5,1,3,5.656854249492381,6
21,1,1,1,4,4,1,5,8,2,3,4.242640687119285,-1
22,1,2,2,6,3,4,3,1,3,3,2.8284271247461903,6
23,1,14,2,2,2,5,4,9,4,3,1.4142135623730951,-1
24,2,4,1,1,1,7,1,5,4,6,15.0,6
25,2,2,2,2,2,1,7,4,1,6,14.0,6
26,2,1,3,3,1,8,3,3,1,6,13.0,6
27,2,1,1,4,4,7,2,2,4,7,12.0,6
28,2,1,2,1,5,5,1,10,3,6,11.04536101718726,-1
29,2,3,1,2,6,1,2,9,3,6,10.04987562112089,-1
30,2,3,3,3,1,2,3,8,3,6,9.055385138137416,-1
31,2,3,3,4,2,2,6,7,3,5,8.06225774829855,-1
32,2,4,4,3,1,6,5,9,4,6,7.0,-1
33,2,2,4,4,5,2,9,8,3,6,6.0,-1
34,2,4,4,5,4,7,2,7,4,6,5.0,-1
35,2,4,2,6,2,8,5,6,2,6,4.0,-1
36,2,3,4,7,3,2,1,5,4,6,3.0,6
37,2,2,4,8,8,1,4,4,1,6,2.0,6
38,2,1,4,9,1,4,3,3,4,6,1.0,6
39,3,1,1,3,1,1,1,1,7,7,9.433981132056603,6
40,3,5,6,1,2,1,2,5,6,7,8.06225774829855,6
41,3,8,6,5,3,3,3,14,5,7,6.708203932499369,-1
42,3,2,7,8,4,4,3,6,4,7,5.385164807134504,-1
43,3,10,1,9,5,5,3,4,3,7,4.123105625617661,6
44,3,7,9,2,6,6,4,2,2,0,3.0,6
45,3,6,5,4,5,7,5,3,4,0,2.0,6
46,3,5,3,5,2,8,2,2,1,0,1.0,6
47,4,5,1,1,1,3,2,4,2,0,10.63014581273465,6
48,4,4,2,1,1,4,4,4,4,1,9.899494936611664,6
49,4,6,1,4,11,1,5,3,5,2,8.48528137423857,6
50,4,1,8,3,3,7,1,4,4,1,7.810249675906654,6
51,4,6,7,2,3,4,2,1,1,1,6.4031242374328485,6
52,4,6,6,2,1,7,3,2,2,1,5.0,6
53,4,2,5,3,1,2,4,3,5,1,3.605551275463989,6
54,4,1,4,4,2,2,5,4,1,1,2.23606797749979,6
55,4,3,3,1,3,3,6,1,3,0,1.0,6
56,5,1,2,1,3,10,6,2,5,4,8.246211251235321,6
57,5,2,1,7,7,9,4,2,2,4,7.280109889280518,6
58,5,3,5,5,7,8,5,3,2,4,6.324555320336759,6
59,5,4,6,3,7,7,2,7,2,4,5.385164807134504,-1
60,5,5,6,10,2,6,5,8,3,4,4.47213595499958,-1
61,5,6,10,6,1,5,9,2,3,4,3.605551275463989,6
62,5,7,3,1,7,4,9,3,6,3,2.8284271247461903,6
63,5,1,1,1,6,3,9,6,7,3,1.4142135623730951,-1
64,6,7,2,2,1,3,4,3,8,7,13.601470508735444,6
65,6,4,3,3,2,5,5,1,7,7,12.206555615733702,6
66,6,1,4,3,3,1,6,9,6,7,10.816653826391969,-1
67,6,4,2,1,4,3,2,3,5,7,9.433981132056603,6
68,6,3,5,5,5,8,4,5,4,7,8.06225774829855,6
69,6,5,2,4,6,4,8,3,3,7,6.708203932499369,6
70,6,1,6,8,7,3,3,4,2,7,5.385164807134504,6
71,6,4,8,1,8,8,2,4,1,6,4.123105625617661,6
72,6,1,2,2,6,2,2,3,3,7,3.1622776601683795,6
73,6,3,1,1,7,3,3,4,2,6,2.0,6
74,6,5,3,2,12,2,1,3,2,6,1.0,6
75,7,1,1,8,1,1,2,2,1,2,10.63014581273465,6
76,7,1,1,7,4,1,1,3,1,3,9.899494936611664,6
77,7,2,2,7,3,7,2,1,2,4,8.48528137423857,6
78,7,3,3,2,4,6,1,4,1,4,7.810249675906654,6
79,7,4,4,7,5,5,1,1,2,3,7.211102550927978,6
80,7,5,5,2,4,2,7,2,3,3,5.830951894845301,6
81,7,3,1,2,3,1,1,4,4,3,4.47213595499958,6
82,7,2,1,1,2,1,3,1,5,3,3.1622776601683795,6
83,7,1,3,3,1,1,1,1,6,2,2.0,6
84,7,2,1,2,1,1,1,2,1,2,1.0,6
85,8,1,2,10,1,1,2,1,3,7,16.492422502470642,6
86,8,3,8,1,2,1,3,2,2,0,15.297058540778355,6
87,8,2,2,3,1,2,2,2,2,0,14.317821063276352,6
88,8,1,7,6,4,3,2,2,1,1,13.341664064126334,6
89,8,1,6,1,2,3,3,1,2,1,12.649110640673518,6
90,8,9,5,8,6,1,4,1,3,0,12.083045973594572,6
91,8,8,1,2,5,2,1,2,7,0,11.180339887498947,6
92,8,7,1,1,3,3,3,4,4,0,10.295630140987,6
93,8,6,3,1,1,4,2,3,3,0,9.433981132056603,6
94,8,5,3,3,1,5,3,7,2,0,8.602325267042627,-1
95,8,4,2,5,7,6,4,7,1,0,7.810249675906654,-1
96,8,3,3,3,10,7,3,1,7,7,7.071067811865476,6
97,8,4,4,3,11,1,1,2,6,7,5.656854249492381,6
98,8,3,2,12,12,2,1,3,5,7,4.242640687119285,6
99,8,4,2,3,13,2,4,3,4,7,2.8284271247461903,6
100,8,3,3,4,14,4,3,3,3,7,1.4142135623730951,6
101,9,1,5,2,10,3,8,2,5,5,8.48528137423857,6
102,9,6,6,6,3,2,7,8,1,5,7.071067811865476,-1
103,9,2,7,3,1,6,6,7,7,5,5.656854249492381,-1
104,9,5,8,2,7,9,5,3,5,5,4.242640687119285,6
105,9,5,9,5,3,2,4,5,5,5,2.8284271247461903,6
106,9,5,10,12,1,2,3,1,4,5,1.4142135623730951,6
107,10,2,3,1,2,4,1,1,1,0,10.44030650891055,6
108,10,1,3,2,1,5,1,1,1,1,10.198039027185567,6
109,10,4,2,2,1,2,2,1,4,7,11.04536101718726,6
110,10,1,3,3,2,1,1,1,3,7,10.0,6
111,10,2,1,1,3,1,2,9,2,6,9.055385138137416,-1
112,10,2,2,2,1,3,2,8,2,6,8.06225774829855,-1
113,10,2,2,3,2,2,2,7,4,6,7.071067811865476,-1
114,10,2,2,4,3,2,1,6,1,6,6.082762530298219,-1
115,10,1,2,5,2,1,6,5,4,6,5.0990195135927845,6
116,10,2,1,6,1,6,2,4,2,6,4.123105625617661,6
117,10,4,4,7,2,17,7,3,4,6,3.1622776601683795,6
118,10,2,2,8,3,2,3,2,1,6,2.23606797749979,6
119,10,1,4,9,12,13,4,1,1,5,1.4142135623730951,6
120,11,2,1,5,1,3,5,1,2,5,8.602325267042627,6
121,11,1,2,2,7,3,4,1,1,4,7.211102550927978,6
122,11,2,3,4,1,2,4,4,1,5,6.708203932499369,6
123,11,2,4,2,1,1,3,3,3,5,5.385164807134504,6
124,11,4,5,1,1,1,2,2,2,5,4.123105625617661,6
125,11,5,6,1,2,1,1,1,1,3,3.0,6
126,11,1,1,1,1,7,2,1,2,5,4.123105625617661,6
127,11,1,2,2,7,5,1,1,1,4,3.605551275463989,6
128,11,2,2,7,5,4,1,1,1,4,4.242640687119285,6
129,11,3,2,5,2,3,1,1,1,4,5.0,6
130,11,4,3,7,2,2,2,1,1,5,5.830951894845301,6
131,11,1,4,3,1,2,1,6,4,7,6.324555320336759,-1
132,11,7,1,1,2,2,2,2,3,0,5.0990195135927845,6
133,11,6,1,1,1,3,4,9,1,0,4.123105625617661,-1
134,11,5,1,1,1,4,2,1,9,7,3.1622776601683795,6
135,11,6,2,2,2,1,3,2,8,0,2.0,6
136,11,5,2,2,2,2,4,5,2,0,1.0,6
137,12,1,2,2,3,1,2,2,1,2,8.246211251235321,6
138,12,2,3,1,6,3,1,3,1,3,7.280109889280518,6
139,12,1,2,3,5,10,2,2,2,2,6.082762530298219,6
140,12,4,4,2,1,2,2,3,1,2,5.0990195135927845,6
141,12,2,3,1,2,1,4,4,3,3,4.123105625617661,6
142,12,1,1,4,1,9,2,1,4,2,3.0,6
143,12,1,5,3,7,1,8,2,1,2,2.0,6
144,12,3,2,2,1,4,1,3,1,2,1.0,6
145,13,2,2,16,3,5,2,4,5,2,15.811388300841896,6
146,13,2,2,15,7,8,3,5,2,2,14.866068747318506,6
147,13,2,2,14,9,9,3,6,2,2,13.92838827718412,-1
148,13,2,1,13,1,3,8,7,2,2,13.0,-1
149,13,1,3,12,7,1,8,8,2,1,12.083045973594572,-1
150,13,1,2,3,4,3,9,1,1,1,10.770329614269007,6
151,13,1,1,10,5,3,10,1,1,2,9.486832980505138,6
152,13,1,1,9,1,6,3,2,1,2,8.54400374531753,6
153,13,1,1,8,6,1,5,3,1,2,7.615773105863909,6
154,13,1,1,7,5,5,1,4,1,2,6.708203932499369,6
155,13,1,1,6,4,14,14,5,1,2,5.830951894845301,6
156,13,1,1,5,5,4,8,6,1,2,5.0,-1
157,13,1,4,4,3,5,7,7,1,1,4.242640687119285,-1
158,13,6,3,1,2,8,8,1,1,1,2.8284271247461903,6
159,13,5,2,2,2,1,9,2,3,1,1.4142135623730951,6
160,14,12,4,5,2,2,2,8,4,0,13.152946437965904,-1
161,14,11,4,4,3,3,3,8,4,0,12.16552506059644,-1
162,14,10,6,5,4,4,4,3,4,0,11.180339887498947,6
163,14,9,6,5,5,5,4,6,3,0,10.198039027185567,-1
164,14,8,1,4,5,6,6,4,4,0,9.219544457292889,6
165,14,7,6,1,4,7,3,4,3,1,8.246211251235321,6
166,14,1,5,5,4,1,4,4,6,1,7.071067811865476,6
167,14,5,4,1,2,9,5,1,3,0,6.0,6
168,14,4,2,4,1,10,1,5,4,0,5.0,6
169,14,3,4,4,4,11,10,6,1,0,4.0,-1
170,14,2,2,2,4,12,6,1,2,0,3.0,6
171,14,1,4,4,4,13,1,5,1,1,2.0,6
172,14,7,3,1,3,5,2,1,7,7,1.4142135623730951,6
173,15,1,1,14,5,1,7,2,1,5,10.44030650891055,6
174,15,2,2,1,1,3,6,4,1,5,9.219544457292889,6
175,15,2,3,2,2,1,5,5,4,5,8.06225774829855,6
176,15,7,4,1,1,1,4,1,2,5,7.0,6
177,15,1,5,1,1,1,3,3,3,5,6.082762530298219,6
178,15,4,6,1,3,2,2,2,2,4,5.385164807134504,6
179,15,5,1,2,4,1,2,2,2,3,4.47213595499958,6
180,15,2,1,2,3,5,3,1,3,4,3.1622776601683795,6
181,15,3,4,2,2,4,3,3,1,4,2.23606797749979,6
182,15,4,2,4,3,3,3,3,3,3,1.4142135623730951,6
183,16,8,1,1,7,2,3,6,1,0,9.055385138137416,-1
184,16,7,2,1,1,3,6,1,3,0,8.06225774829855,6
185,16,6,4,3,1,4,1,2,3,0,7.071067811865476,6
186,16,5,4,2,7,5,2,5,1,0,6.082762530298219,6
187,16,4,2,4,3,6,2,1,5,0,5.0990195135927845,6
188,16,3,3,4,2,7,1,2,5,0,4.123105625617661,6
189,16,2,4,2,3,8,6,6,3,1,3.1622776601683795,-1
190,16,1,3,3,1,6,7,7,1,1,2.0,-1
191,16,1,2,1,2,2,8,1,2,7,1.4142135623730951,6
192,17,1,1,8,6,1,1,9,1,3,11.704699910719626,-1
193,17,2,2,1,5,1,8,1,2,3,10.44030650891055,6
194,17,1,4,7,4,10,3,1,3,4,9.219544457292889,6
195,17,2,2,3,4,9,1,6,1,4,8.246211251235321,-1
196,17,3,6,4,1,8,9,1,3,4,7.280109889280518,6
197,17,4,8,1,2,7,6,3,1,3,6.324555320336759,6
198,17,1,7,3,1,3,4,4,2,4,5.0990195135927845,6
199,17,2,3,1,3,2,9,10,8,4,4.123105625617661,-1
200,17,3,1,3,3,1,6,6,9,3,3.1622776601683795,-1
201,17,2,2,2,2,5,3,1,10,4,2.0,6
202,17,3,2,2,2,4,1,5,1,4,1.0,6
203,18,8,2,1,5,7,2,2,2,0,10.04987562112089,6
204,18,7,2,3,1,8,2,2,2,0,9.055385138137416,6
205,18,6,2,2,3,9,2,2,2,0,8.06225774829855,6
206,18,5,3,2,9,10,2,2,2,0,7.071067811865476,6
207,18,4,2,2,2,11,2,2,2,0,6.082762530298219,6
208,18,3,1,4,2,12,2,2,2,0,5.0990195135927845,6
209,18,2,2,1,2,13,2,2,1,0,4.123105625617661,6
210,18,1,6,5,1,14,2,1,2,7,3.1622776601683795,6
211,18,5,2,1,2,1,1,1,1,0,2.0,6
212,18,4,3,2,1,2,1,1,1,0,1.0,6
213,19,3,3,3,3,2,1,2,3,7,15.033296378372908,6
214,19,6,3,4,4,2,1,7,2,6,14.142135623730953,-1
215,19,14,2,5,3,1,1,6,8,7,13.152946437965904,-1
216,19,1,6,6,4,2,3,12,7,6,12.36931687685298,-1
217,19,2,1,7,2,3,2,11,2,6,11.40175425099138,-1
218,19,6,2,8,2,3,2,10,1,6,10.44030650891055,-1
219,19,1,2,9,3,2,3,9,6,6,9.486832980505138,-1
220,19,2,1,10,3,2,1,8,2,6,8.54400374531753,-1
221,19,13,2,11,2,1,3,7,4,6,7.615773105863909,-1
222,19,2,2,12,1,2,1,6,1,6,6.708203932499369,-1
223,19,1,6,13,3,1,1,5,2,6,5.830951894845301,6
224,19,4,1,14,1,1,1,4,3,6,5.0,6
225,19,2,7,15,1,1,1,3,5,6,4.242640687119285,6
226,19,4,3,16,1,1,2,2,1,5,3.605551275463989,6
227,19,2,4,1,2,2,1,2,1,4,2.23606797749979,6
228,19,3,1,2,1,1,3,1,2,5,1.4142135623730951,6
229,20,1,10,1,2,3,1,1,1,1,9.219544457292889,6
230,20,2,9,4,1,1,2,1,1,0,8.54400374531753,6
231,20,1,4,2,3,2,1,1,1,1,7.615773105863909,6
232,20,1,3,4,1,3,2,1,6,7,7.211102550927978,6
233,20,9,4,1,2,1,1,1,5,7,5.830951894845301,6
234,20,1,7,3,3,1,1,4,4,7,4.47213595499958,6
235,20,7,7,1,4,2,3,2,3,7,3.1622776601683795,6
236,20,6,4,10,5,4,1,2,2,0,2.0,6
237,20,5,5,7,2,5,2,2,2,0,1.0,6
238,21,2,1,1,1,1,1,5,4,6,17.804493814764857,6
239,21,2,2,2,1,1,1,4,1,6,17.029386365926403,6
240,21,1,2,3,1,1,1,3,2,6,16.278820596099706,6
241,21,2,1,4,1,1,1,2,1,6,15.556349186104043,6
242,21,1,3,5,1,1,1,1,2,7,14.866068747318506,6
243,21,9,1,1,2,1,2,10,1,0,13.45362404707371,-1
244,21,8,1,1,1,2,2,1,1,0,12.727922061357855,6
245,21,7,1,1,1,3,1,1,3,0,12.041594578792296,6
246,21,6,1,1,1,4,1,3,2,0,11.40175425099138,6
247,21,5,1,1,1,5,6,3,1,0,10.816653826391969,6
248,21,4,1,1,1,6,4,1,2,7,10.295630140987,6
249,21,5,2,2,2,1,1,1,1,0,8.94427190999916,6
250,21,4,7,7,2,2,1,1,6,7,8.54400374531753,6
251,21,2,8,3,3,1,1,1,5,7,7.280109889280518,6
252,21,4,1,3,4,1,4,12,4,6,6.082762530298219,-1
253,21,4,2,4,1,4,3,11,4,6,5.0990195135927845,-1
254,21,4,4,5,2,4,3,10,2,6,4.123105625617661,-1
255,21,4,5,6,4,4,1,9,4,6,3.1622776601683795,-1
256,21,2,4,7,4,1,2,8,1,6,2.23606797749979,-1
257,21,1,4,8,1,2,5,7,3,7,1.4142135623730951,-1
258,22,4,3,2,1,3,1,1,1,4,13.601470508735444,6
259,22,1,4,1,2,2,2,1,1,5,13.341664064126334,6
260,22,1,5,4,1,4,1,3,2,6,12.16552506059644,6
261,22,3,1,5,6,1,1,2,2,6,11.180339887498947,6
262,22,2,2,6,1,1,5,1,1,5,10.198039027185567,6
263,22,1,3,1,2,7,4,1,5,7,9.055385138137416,6
264,22,8,1,1,3,1,6,4,4,6,8.246211251235321,6
265,22,2,2,2,1,2,1,3,2,6,7.280109889280518,6
266,22,10,3,3,7,1,1,2,8,6,6.324555320336759,6
267,22,2,2,4,1,1,5,1,3,5,5.385164807134504,6
268,22,1,3,1,3,1,4,8,8,6,4.123105625617661,-1
269,22,6,1,2,1,6,7,7,1,6,3.1622776601683795,-1
270,22,1,3,3,7,5,1,6,1,6,2.23606797749979,-1
271,22,1,1,4,4,1,5,5,1,5,1.4142135623730951,6
272,23,4,2,1,11,2,2,2,2,0,12.041594578792296,6
273,23,3,2,2,1,3,2,2,2,0,11.40175425099138,6
274,23,2,1,2,2,4,2,2,1,0,10.816653826391969,6
275,23,1,2,1,2,5,2,1,2,1,10.295630140987,6
276,23,6,1,1,1,1,3,1,3,0,8.94427190999916,6
277,23,5,1,1,1,2,1,3,3,0,8.54400374531753,6
278,23,4,2,1,1,3,3,3,1,1,8.246211251235321,6
279,23,1,1,7,2,1,4,2,3,2,7.071067811865476,6
280,23,1,3,6,5,2,1,3,1,2,6.082762530298219,6
281,23,3,2,5,4,2,2,4,1,2,5.0990195135927845,6
282,23,3,2,4,14,7,2,5,3,2,4.123105625617661,6
283,23,2,2,3,1,7,2,6,3,2,3.1622776601683795,-1
284,23,2,1,2,2,1,5,7,3,2,2.23606797749979,-1
285,23,1,3,1,9,2,1,8,2,1,1.4142135623730951,-1
286,24,3,2,1,3,6,4,6,3,4,10.770329614269007,-1
287,24,4,1,7,7,5,3,3,4,4,9.848857801796104,6
288,24,5,4,3,1,4,2,3,3,4,8.94427190999916,6
289,24,6,3,1,7,3,3,9,6,3,8.06225774829855,-1
290,24,1,2,6,6,3,4,3,7,3,6.708203932499369,6
291,24,7,5,5,5,1,3,8,8,3,5.385164807134504,-1
292,24,3,3,1,4,12,7,1,9,4,4.123105625617661,6
293,24,4,1,4,4,11,2,2,1,4,3.1622776601683795,6
294,24,5,4,3,3,10,1,4,6,4,2.23606797749979,6
295,24,6,4,4,4,9,8,1,2,3,1.4142135623730951,6
296,25,2,4,3,5,1,3,1,1,3,10.44030650891055,6
297,25,3,2,5,4,9,6,1,2,4,9.219544457292889,6
298,25,4,2,4,3,8,1,4,1,4,8.246211251235321,6
299,25,5,5,5,2,7,4,1,13,4,7.280109889280518,6
300,25,6,5,5,2,6,3,7,1,4,6.324555320336759,-1
301,25,7,5,2,5,5,1,7,15,4,5.385164807134504,-1
302,25,8,4,2,1,4,4,1,4,4,4.47213595499958,6
303,25,9,2,1,3,3,3,3,1,3,3.605551275463989,6
304,25,1,3,4,2,3,2,4,2,4,2.23606797749979,6
305,25,2,3,4,2,2,1,8,7,3,1.4142135623730951,-1
306,26,7,2,2,2,1,5,5,5,7,11.704699910719626,6
307,26,1,3,3,3,5,4,1,4,7,10.44030650891055,6
308,26,3,4,1,4,1,1,3,3,6,9.219544457292889,6
309,26,5,5,2,1,1,1,2,2,6,8.246211251235321,6
310,26,5,5,3,1,1,1,1,5,7,7.280109889280518,6
311,26,1,4,7,2,1,8,4,4,6,6.082762530298219,6
312,26,2,1,8,1,11,1,3,1,6,5.0990195135927845,6
313,26,1,2,9,2,1,1,2,2,7,4.123105625617661,6
